Sl,Text,Extracted Name,Extracted Location,Extracted Organization
455,"['he said after june general elections in which the ruling three-party coalition lost its parliamentary majority, the ods executive, led by prime minister vaclav klaus, had developed proposals on these subjects to present at the congress on saturday in the czech second city brno.']","['vaclav', 'klaus']",[],"['executive', 'congress']"
456,"['i am convinced, that the congress will tackle these proposals,']",[],[],['congress']
457,['he said.'],[],[],[]
458,"['the ods, a party in which klaus often tries to emulate the style of former british prime minister margaret thatcher, has been in control of czech politics since winning general elections in 1992.']","['margaret', 'thatcher']",[],[]
459,"[""zieleniec in the summer led calls for the party and its leadership to listen to more diverse opinions, a thinly-veiled criticism of klaus who has spearheaded the country's post-communist economic reforms.""]",[],[],[]
460,"['the party, led by the vigorously-confident klaus, took 32 of 81 seats after late november runoff elections to the new upper house of czech parliament.']","['vigorously-confident', 'klaus']",[],[]
461,"['but after the first round vote a week before, the ods had the potential to win as many 79 seats.']",[],[],[]
462,"['klaus and his coalition lost its majority in parliament in june lower house elections after the left-wing opposition consolidated, putting the centre-left social democrats in a strong second-place position.']",[],[],"['consolidated', 'social', 'democrats']"
463,['-- prague newsroom 42-2-2423-0003 -docstart- poland got money from post-war swiss accounts.'],[],['poland'],"['prague', 'newsroom']"
464,"['marcin grajewski warsaw 1996-12-06 poland said on friday that swiss bank accounts, which in many cases belonged to polish jews who died in the holocaust, were used in debt settlements between the two countries after the world war two.']",[],"['warsaw', 'poland']",['marcin']
465,"['foreign minister dariusz rosati, unveiling first findings of a special government commission, said that in 1970s the then communist poland received 460,000 swiss francs from the accounts.']","['dariusz', 'rosati']",['poland'],[]
466,"['in 1970s, poland received from unclaimed accounts in switzerland a sum of 460,000 francs.']","['unclaimed', 'accounts']","['poland', 'switzerland']",[]
467,['what was its right( to the money) ...i'],[],[],[]
468,"['do not know,']",[],[],[]
469,['rosati told a news conference.'],['rosati'],[],[]
470,"[""switzerland stands accused by senator alfonse d'amato, chairman of the powerful u.s.""]","['senator', 'alfonse', ""d'amato""]","['switzerland', 'stands', 'u.s.']",[]
471,"['senate banking committee, of agreeing to give money to poland from unclaimed bank accounts of polish citizens, as part of an accord on compensating swiss nationals whose assets had been seized in communist poland.']",[],"['poland', 'unclaimed', 'poland']","['senate', 'banking']"
472,"[""many of these citizens were jews murdered during the war, when nazi german invaders killed most of poland's 3.5""]",[],['poland'],[]
473,['million jews.'],[],[],[]
474,['rosati did not say whether the payment in 1970s was part of the 1949 agreement between warsaw and switzerland on compensation to swiss citizens whose assets were seized by the soviet-imposed communists authorities after world war two.'],['rosati'],"['warsaw', 'switzerland']",[]
475,"['i expect that the commission will finish gathering information within two to three weeks and then more details will be provided,']",[],[],[]
476,['rosati said.'],['rosati'],[],[]
477,['rosati confirmed that the 1949 agreement had provided for granting switzerland about 53 million francs and most of this sum was repaid with coal exports.'],['rosati'],['switzerland'],[]
478,"['he said, however, that switzerland did get about 16,000 francs from the so-called']",['however'],['switzerland'],[]
479,['dead accounts'],[],[],[]
480,['as part of the compensation.'],[],[],[]
481,"['about 16,000 francs were seized from accounts of four or five polish citizens, whose data we do not precisely know.']",[],[],[]
482,"['the issue is of moral and legal nature, because its financial significance is small,']",[],[],[]
483,['rosati said.'],['rosati'],[],[]
484,"['under pressure from international jewish organisations, swiss government has devised a plan to pay out millions of dollars in unclaimed bank accounts as a conciliatory gesture toward holocaust victims.']",[],[],[]
485,['the conservative radical democrats( fdp) have said they would ask parliament next week to order swiss banks to put some 40 million swiss francs($ 31 million) in dormant wealth into a fund earmarked for jewish groups and charitable organisations.'],['banks'],[],['fdp']
486,"[""but swiss banks and the country's jewish community voiced doubts whether the plan would work.""]",['banks'],[],[]
487,['-docstart- interview-zywiec sees no big 97 net rise.'],[],[],[]
488,"[""steven silber warsaw 1996-12-06 polish brewer zywiec's 1996 profit slump may last into next year due in part to hefty depreciation charges, but recent high investment should help the firm defend its 10-percent market share, the firm's chief executive said.""]","['steven', 'silber']",['warsaw'],['executive']
489,"['company president jean van boxmeer told reuters in an interview on friday that the firm, whose net profit fell 77 percent in the first 10 months of 1996 despite a 30-percent rise in sales, might only post slightly better profits in 1997 before having a chance to make a more significant turnaround.']","['jean', 'van', 'boxmeer']",[],['reuters']
490,"['so far this year zywiec, whose full name is zaklady piwowarskie w zywcu sa, has netted six million zlotys on sales of 224 million zlotys.']",[],[],"['piwowarskie', 'zywcu', 'sa']"
491,['it has produced 1.5'],[],[],[]
492,['million hectolitres.'],[],[],[]
493,"[""van boxmeer would not say how much higher 1997 profits or market share could be but said sales of leading polish brewers should rise as the country's young urban professionals gradually switch from vodka to beer.""]","['van', 'boxmeer']",[],[]
494,"['the perspective on growth is such that reasonably we can think that somewhere between 65 and 80 litres per year is certainly reachable,']",[],[],[]
495,"['van boxmeer said on polish per-capita beer consumption, currently around 40 litres.']","['van', 'boxmeer']",[],[]
496,"[""he said the 65-80-litre level could be reached in the next ten years and make poland, with its 40-million population, europe's third largest beer market after germany and britain.""]",[],"['poland', 'europe', 'germany', 'britain']",[]
497,"[""van boxmeer said poland's top five brewers, which produce about 55 percent of the country's beer, could all raise market share as some of the numerous small brewers fall to competition from the large brewers with foreign investors.""]","['van', 'boxmeer']",['poland'],['brewers']
498,['zywiec is 31.8-percent'],[],[],[]
499,['owned by heineken while carlsberg has the same amount in okocim.'],[],[],['carlsberg']
500,"[""earlier this year south african breweries ltd( sab) bought strategic stakes in the unlisted lech and tychy brewers, which together hold more than 20 percent of the market, and australia's brewpole bv has a controlling stake in poland's larges t brewery, elbrewery company ltd.""]",[],"['australia', 'poland']","['south', 'african', 'breweries', 'ltd', 'sab', 'lech', 'tychy', 'brewers']"
501,['( eb).'],[],[],[]
502,"[""van boxmeer said the tough competition had prevented zywiec from raising prices in line with inflation, which had added to the pressure on the firm's margins.""]","['van', 'boxmeer']",[],[]
503,['he said advertising costs would also increase in the fight for market share.'],[],[],[]
504,"[""but he said the company's investment of more than$ 100 million already this decade, largely in production, would help position it to compete with such competitors as brewers from the neighbouring czech republic.""]",['brewers'],"['czech', 'republic']",[]
505,"[""some analysts say cheaper but high-quality czech imports could invade poland once tariffs for cefta countries are lifted in 1998, but van boxmeer says such a threat might be exaggerated despite the czech beer market's overcapacity.""]","['van', 'boxmeer']",['poland'],[]
506,"[""i think polish consumers in general are quite proud of their beers -- and i'm speaking about all the brands -- and as we make good beers ...""]",[],[],[]
507,"['i think that this fidelity to our beers is a factor which can limit the czech beers,']",[],[],[]
508,['he said.'],[],[],[]
509,"[""van boxmeer said zywiec had its eye on okocim, which has said it would start producing carlsberg beer next year, but that zywiec's potential production of heineken was a medium-term possibility rather than a short-term one.""]","['van', 'boxmeer']",[],"['okocim', 'zywiec']"
510,"[""he said his firm would be better off concentrating on its leading brand, zywiec full light, which accounts for 85 percent of sales and is the country's largest-selling brand.""]",[],[],[]
511,"['you will not win the war of the polish beer market with imported international brands,']",[],[],[]
512,"['van boxmeer said, adding that heineken would remain an up-market import in poland.']","['van', 'boxmeer']",['poland'],['heineken']
513,"[""van boxmeer also said zywiec would be boosted by its recent shedding of soft drinks which only accounted for about three percent of the firm's overall sales and for which 7.6""]","['van', 'boxmeer']",[],[]
514,['million zlotys in provisions had already been made.'],[],[],[]
515,['-- warsaw newsroom +48 22 653 9700 -docstart- havel has traecheotomy after conditions worsens.'],['havel'],[],"['warsaw', 'newsroom']"
516,"['prague 1996-12-06 doctors performed an emergency tracheotomy to help czech president vaclav havel breathe after cancer surgery on his lungs earlier this week, a spokesman said on friday.']","['vaclav', 'havel', 'breathe']",['prague'],[]
517,"[""he said that the procedure to insert a device into havel's throat, done after his breathing worsened on thursday, had helped, and the president's condition significantly improved.""]",['havel'],[],[]
518,"[""a worsening in the president's lung functions took place yesterday,""]",[],[],[]
519,['presidential spokesman ladlislav spacek said in a statement.'],"['ladlislav', 'spacek']",[],[]
520,"['a tracheotomy was performed and supportive breathing was installed through the help of a breathing device,']",['breathing'],[],[]
521,['he said.'],[],[],[]
522,"[""after these steps, the president's condition signigicantly improved.""]",[],[],[]
523,['havel has been recovering from surgery on monday which removed a small malignant tumour and half of his right lung.'],['havel'],[],[]
524,"['doctors after the operation said that they had caught the cancer early, and that havel could fully recover from the surgery within six weeks.']",['havel'],[],[]
525,"['his spokesman said on thursday that havel, 60 and a heavy smoker, had also developed a slight case of pneumonia in the left lung.']",['havel'],[],[]
526,"['-docstart- uk-us open skies talks end, no date to restart.']",[],[],[]
527,['london 1996-12-06 the uk department of transport on friday said that the latest round of'],[],['london'],"['uk', 'department', 'of', 'transport']"
528,['open skies'],[],[],[]
529,['talks with the u.s.'],[],[],[]
530,['had ended with no deal on liberalising the transatlantic flight market and no date set for when talks would restart.'],[],[],[]
531,['a spokesman for the dot told reuters'],[],[],['reuters']
532,['we have had talks towards concluding a new air service agreement which would produce liberalisation ...'],[],[],[]
533,"['useful progress was made on a number of issues, but not all.']",['useful'],[],[]
534,['no date has been set for further talks.'],[],[],[]
535,['-docstart- tambang timah at$ 15.575'],[],[],[]
536,['in london.'],[],['london'],[]
537,['london 1996-12-07 pt tambang timah closed at$ 15.575'],[],['london'],[]
538,['per gdr in london on friday.'],[],['london'],[]
539,"[""it recorded the day's low of$ 15.475""]",[],[],[]
540,"[""and the day's high of$ 15.725""]",[],[],[]
541,['.'],[],[],[]
542,['it closed at$ 15.80'],[],[],[]
543,['on thursday.'],[],[],[]
544,['one global depository receipt represents 10 common shares.'],[],[],[]
545,['-- jakarta newsroom +6221 384-6364 -docstart- telkom at$ 35 in london.'],[],"['jakarta', 'london']",[]
546,['london 1996-12-07 pt telekomunikasi indonesia( telkom) closed at$ 35 in london on friday.'],['telekomunikasi'],"['london', 'indonesia', 'london']",['1996-12-07']
547,"[""it recorded the day's low of$ 34.475""]",[],[],[]
548,"[""and the day's high of$ 35.375""]",[],[],[]
549,['.'],[],[],[]
550,['its previous close on thursday as$ 35.63'],[],[],[]
551,['.'],[],[],[]
552,['one ads represents 20 ordinary shares -- jakarta newsroom +6221 384-6364.'],[],['jakarta'],[]
553,['-docstart- woman charged over n.'],['n.'],[],[]
554,['ireland arms find.'],[],['ireland'],[]
555,"['belfast 1996-12-06 a woman was charged on friday with terrorist offences after three irish republican army mortar bombs were found in a belfast house, police said.']",['belfast'],"['belfast', 'house']",['republican']
556,['police said the bombs were found hidden with incendiaries and ammunition that were blocked up behind a kitchen wall.'],[],[],[]
557,"['the 35-year-old woman was charged with possession of explosives with intent to endanger life and making a house available for the purpose of terrorism, police said.']",[],[],[]
558,['she will appear in court on saturday.'],[],[],[]
559,['her name was not released.'],[],[],[]
560,['security forces said the bombs may have been intended for use in a pre-christmas bombing campaign by the guerrilla group that is battling to oust britain from northern ireland.'],[],"['britain', 'northern', 'ireland']",[]
561,['-docstart- britain sets conditions to clear american alliance.'],[],['britain'],[]
562,"[""edna fernandes london 1996-12-06 the british government warned friday that it would refer the proposed trans-atlantic alliance between british airways plc and american airlines to britain's monopolies and mergers commission unless the carriers complied with a number of conditions.""]","['edna', 'fernandes']","['london', 'britain']","['british', 'airways', 'plc', 'american', 'airlines', 'monopolies', 'mergers', 'commission']"
563,"['trade and industry secretary ian lang added that even if the conditions were met by both airlines, final clearance would hinge on an open skies deal between britain and the united states to liberalise trans-atlantic air traffic, which would create greater competition on the routes.']","['ian', 'lang', 'clearance']","['britain', 'united', 'states']",[]
564,"[""lang said he supported conditions proposed by britain's office of fair trading, which was asked to examine the case last month.""]",['lang'],['britain'],[]
565,['i agree ...'],[],[],[]
566,"['that without suitable undertakings the alliance would be likely to lead to a significant loss of actual and potential passengers, on those routes where ba and aa currently compete and for all passengers on the trans-atlantic market route between the uk and u.s.']",[],"['uk', 'u.s.']",[]
567,"[',']",[],[],[]
568,['he said.'],[],[],[]
569,['his comments came just minutes after the latest set of open skies talks ended in london with no deal signed.'],[],['london'],[]
570,['industry sources said there was no new date for fresh talks and blamed the deadlock on uncertainty over whether the british airways-american deal would be cleared.'],[],[],[]
571,"['the conditions for clearance of the alliance were that british airways and american drop 168 slots at london heathrow airport, the busiest in europe.']",[],"['london', 'heathrow', 'europe']","['british', 'airways']"
572,"[""american's parent, amr corp.""]",[],[],"['american', 'amr', 'corp.']"
573,"[', said it did not view the terms as a']",[],[],[]
574,['deal breaker.'],[],[],[]
575,"['however, it called the conditions']",[],[],[]
576,['more severe'],[],[],[]
577,['than those imposed by other regulatory authorities on similar airline alliances.'],[],[],[]
578,"[""british airways's initial response was that""]",[],[],"['british', 'airways']"
579,['unconditional divestiture of slots is unprecedented and if done it must be on the basis of fair market value.'],[],[],[]
580,['it added that it would be'],[],[],[]
581,['prepared to take reasonable steps to assist the introduction of additional competition.'],[],[],[]
582,"['the government also wants british airways to drop a clause in its agreement with usair that bars it from competing on trans-atlantic routes, and said both british airways and american should be prepared to reduce services on the london to dallas-fort worth route in the event that a new entrant wishes to enter.']",[],['london'],"['british', 'airways', 'british', 'airways']"
583,['it also suggested losing some slots on the london-to-boston route.'],[],[],[]
584,['the office of fair trade called for british airways/ american to allow third-party access to their joint frequent flyer programme where the applicant does not have access to an equivalent programme.'],[],[],"['british', 'airways', 'american']"
585,['lang said responses should be made to the office of fair trading by jan.'],['lang'],[],[]
586,"['10, 1997.']",[],[],[]
587,['-docstart- med oil products mostly lower as elf strike ends.'],[],[],[]
588,['london 1996-12-06 mediterranean oil products were steady to mostly lower on friday after elf refinery workers voted to end their nine-day strike.'],[],['london'],[]
589,"[""gas oil erased thursday's gains, plunging$ 5.50""]",[],[],[]
590,['a tonne in line with the screen.'],[],[],[]
591,"['volume was very thin and market remained long, with premiums down$ 1 at about high cif quotes +$0.50']",[],[],[]
592,['basis genoa.'],[],[],['genoa']
593,"['the sharp moves on the screen make everyone nervous,']",[],[],[]
594,['a trader said.'],[],[],[]
595,['trades were discussed in 0.2'],[],[],[]
596,"[', 0.5']",[],[],[]
597,['and one percent heating oil into syria and lebanon and there were fresh inquiries from france and spain for low sulphur diesel.'],[],"['syria', 'lebanon', 'france', 'spain']",[]
598,['interest remains focussed on a tender by india for a second purchase of high speed diesel for january delivery.'],[],['india'],[]
599,"['fuel oil lost ground sharply with weaker crude, but also suffered from some pricing pressure.']",[],[],[]
600,['high sulphur cracked fuel lost about$ 3 to$ 109-111 fob med with several cargoes threatening to overhang the market.'],[],[],[]
601,"['the chance of material heading north, talked earlier this week, may be in jeopardy now since american fuel oil is expected to head transatlantic following outages at two coking units in the u.s']",[],"['north', 'talked', 'u.s']",[]
602,['.'],[],[],[]
603,"['up to 165,000 tonnes of fuel will have to find a new home and with the arbitrage from the u.s.']",[],['u.s.'],[]
604,['to europe open rotterdam is a prime candidate.'],[],['europe'],[]
605,['low sulphur prices were lower with cif med pegged in the mid to low$ 140s.'],[],[],[]
606,"['gasoline prices fell after striking elf refinery workers voted to go back to work, traders said.']",[],[],[]
607,['but an open arbitrage to the u.s.'],[],[],[]
608,"['and tight italian supplies after elf scooped up med material over the last week, continued to underpin prices into next week.']",[],[],[]
609,['-docstart- new meningitis scare hits britain.'],[],['britain'],[]
610,"['london 1996-12-06 a boy has died from meningitis and a girl from the same school has contracted the disease in the second such scare to hit britain in as many weeks, health authorities said on friday.']",[],"['london', 'britain']",[]
611,['the 16-year-old who attended sale grammar school in the northern england city of manchester died less than a day after becoming ill.'],[],"['england', 'manchester']",[]
612,['the 15-year-old girl is also suffering from the disease and hospital officials described her condition as serious.'],[],[],[]
613,['at the moment there is no evidence the two cases are linked.'],[],[],[]
614,"['however, we are assuming they are as a precaution for the time being,']",[],[],[]
615,['a spokeswoman said.'],[],[],[]
616,"['the more than 1,260 students at the school are being given antibiotics as a precaution.']",[],[],[]
617,['wales grappled with its own cluster of meningitis cases on a university campus in cardiff.'],[],"['wales', 'cardiff']",[]
618,['at least two people have died and hundreds have been vaccinated in an effort to contain the virus.'],[],[],[]
619,"['in scotland, eight people have died and hundreds more are fighting a widespread food-poisoning outbreak.']",[],['scotland'],[]
620,"['a health authority spokeswoman said 78 people suspected of having the disease, including 64 confirmed cases, were still being treated.']",[],[],"['health', 'authority']"
621,['three were listed in poor condition.'],[],[],[]
622,"[""more than 290 people have reported symptoms in lanarkshire county, the worst-hit area, since the outbreak first came to light after people ate tainted meat pies at a pensioners' lunch.""]",[],"['lanarkshire', 'county', 'worst-hit', 'area']",[]
623,"[""-docstart- major's office-conservatives still have majority.""]",[],[],[]
624,"[""london 1996-12-06 british prime minister john major's office said on friday that rebel conservative mp sir john gorst had not""]","['john', 'major', 'john', 'gorst']",['london'],[]
625,['resigned the whip'],[],[],[]
626,['( quit the parliamentary party) and the government still had a majority in the 651-seat parliament.'],[],[],[]
627,"['he( gorst) isreserving the right not to cooperate, but he has not resigned the whip.']",[],[],[]
628,"['the government still has a majority,']",[],[],[]
629,"[""a spokesman from major's office in downing street said.""]",[],"['downing', 'street']",[]
630,"[""gorst's office said later the mp would not feel himself obliged to vote with the government.""]",['gorst'],[],[]
631,['he said at one point during a press conference:'],[],[],[]
632,"[""i have seen my whip( party manager) for next week which, of course, does n't mean very much to me now.""]",[],[],[]
633,"[""before gorst's statement, major had a one-seat majority in the 651-seat house of commons lower house of parliament.""]",['gorst'],[],[]
634,"['in his formal statement, gorst said:']",['gorst'],[],[]
635,['i am today withdrawing my cooperation from the government and shall not treat the'],[],[],[]
636,"[""whip' as either a summons to attend the house of commons or as placing me under any obligation to vote as advised.""]",[],[],[]
637,['gorst resigned over a hospital closure in his constituency.'],['gorst'],[],[]
638,['-docstart- electronic data bags flight data contract.'],[],[],[]
639,['london 1996-12-06 information technology firm electronic data systems said on friday it had bagged a contract for the first air traffic control project being funded under the private finance initiative.'],[],['london'],"['data', 'systems']"
640,"['in a statement, eds said the contract would be in the region of 50 million stg.']",['eds'],[],[]
641,"['the contract involved upgrading the flight data processing system at the oceanic control centre in prestwick in south west scotland for national air traffic services ltd( nats), subsidiary of the civil aviation authority.']",[],"['oceanic', 'control', 'prestwick', 'south', 'west', 'scotland']","['air', 'traffic', 'services', 'ltd', 'nats', 'civil', 'aviation', 'authority']"
642,['the system is responsible for the control of aircraft flying transatlantic routes from europe and north america.'],[],"['europe', 'north', 'america']",[]
643,"['the system, which would use satellite technology, is scheduled to enter service in 2000.']",[],[],[]
644,['-- london newsroom +44-171-542 7717 -docstart- rtrs- cricket- play restarts in australia-west indies match.'],[],[],"['london', 'newsroom', 'rtrs']"
645,['melbourne 1996-12-06 play restarted in the first world series limited overs match between west indies and australia after a rain delay of 50 minutes on friday.'],[],"['melbourne', 'west', 'indies', 'australia']",[]
646,['west indies resumed their innings on 53 for two with opener sherwin campbell on 25 and shivnarine chanderpaul 10.'],"['sherwin', 'campbell']","['west', 'indies']",[]
647,['rain earlier delayed the start of play by 30 minutes.'],[],[],[]
648,['-- sydney newsroom 61-2 9373-1800 -docstart- cricket- pakistan beat new zealand by 46 runs.'],[],"['pakistan', 'new', 'zealand']","['sydney', 'newsroom']"
649,"['sialkot, pakistan 1996-12-06 pakistan beat new zealand by 46 runs on friday to take an unbeatable 2-0 lead in the three-match one-day series.']",[],"['sialkot', 'pakistan', 'pakistan', 'new', 'zealand']",[]
650,"['scores: pakistan 277-9, new zealand 231 -docstart- manitoba pork forward contract pm prices- dec 6.']",[],"['pakistan', 'new', 'zealand']",[]
651,['winnipeg 1996-12-06 manitoba pork closing forward contract prices in canadian dollars per hundred lbs( cwt) for dec 6 including minimum guaranteed price -- contract previous close pm close pm closing range date pm close fixed minimum at 1230 cst feb 97 79.94'],"['winnipeg', '1996-12-06']",[],[]
652,['79.67'],[],[],[]
653,['75.55'],[],[],[]
654,['77.01-81.80'],[],[],[]
655,['mar 97 76.37'],[],[],[]
656,['76.12'],[],[],[]
657,['72.02'],[],[],[]
658,['73.47-78.24'],[],[],[]
659,['apr 97 74.13'],[],[],[]
660,['74.69'],[],[],[]
661,['70.59'],[],[],[]
662,['72.04-76.81'],[],[],[]
663,['may 97 76.51'],[],[],[]
664,['77.07'],[],[],[]
665,['72.97'],[],[],[]
666,['74.42-79.19'],[],[],[]
667,['jun 97 77.53'],[],[],[]
668,['77.24'],[],[],[]
669,['73.17'],[],[],[]
670,['74.62-79.35'],[],[],[]
671,['jul 97 74.45'],[],[],[]
672,['74.01'],[],[],[]
673,['69.95'],[],[],[]
674,['71.39-76.12'],[],[],[]
675,['aug 97 72.41'],[],[],[]
676,['72.07'],[],[],[]
677,['68.01'],[],[],[]
678,['69.45-74.18'],[],[],[]
679,['sep 97 69.18'],[],[],[]
680,['69.24'],[],[],[]
681,['65.17'],[],[],[]
682,['66.61-71.34'],[],[],[]
683,['oct 97 68.00'],[],[],[]
684,['68.05'],[],[],[]
685,['63.98'],[],[],[]
686,['65.43-70.16'],[],[],[]
687,['nov 97 68.00'],[],[],[]
688,['68.05'],[],[],[]
689,['63.98'],[],[],[]
690,['65.43-70.16'],[],[],[]
691,['note: manitoba government price index( c$ per cwt)- dec 4 87.16'],[],[],[]
692,"[""manitoba's hog price range: 84.00-86.00""]",[],[],[]
693,['per cwt can/ u.s.'],[],['u.s.'],[]
694,['dollar exchange rate: 1.3570'],[],[],[]
695,['source: manitoba pork.'],[],[],['manitoba']
696,['(( winnipeg bureau 204-947-3548)) -docstart- canadian west coast vessel loadings- cwb.'],['winnipeg'],"['west', 'cwb']",['coast']
697,"['winnipeg 1996-12-06 the canadian wheat board reported six ships loading, 10 waiting and four due at the canadian west coast, as of friday.']",[],"['west', 'coast']","['canadian', 'wheat', 'board']"
698,['the longest wait to load on the west coast was 13 days.'],[],"['west', 'coast']",[]
699,"['two ship loaded in thunder bay, one waited and seven were due.']",[],['thunder'],[]
700,"['two ships loaded on the east coast, three waited to load, six were due.']",[],['east'],[]
701,['port loading waiting vancouver 5 7 prince rupert 1 3(( gilbert le gras 204 947 3548)) -docstart- new york timecharter fixtures- dec 6.'],"['prince', 'rupert', 'gilbert', 'le', 'gras', '204', '947']","['new', 'york']",['vancouver']
702,['new york 1996-12-06 no new fixtures reported from new york.'],[],"['new', 'york', 'new', 'york']",[]
703,['-- new york commodities desk +1 212 859 1640 -docstart- new york coal/ ore/ scrap fixtures- dec 6.'],[],"['new', 'york', 'ore']","['new', 'york', 'commodities', 'desk']"
704,"['new york 1996-12-06 ore- maritime queen 70,000 tonnes dampier/ kaohsiung 20-30/12$ 5.25']",[],"['maritime', 'dampier', 'kaohsiung']","['new', 'york', '1996-12-06', 'ore']"
705,"['fio 35,000/ 30,000 china steel.']",[],['china'],[]
706,['-- new york commodities desk +1 212 859 1640 -docstart- clean tankers fixtures and enquiries- 2321 gmt.'],[],[],"['new', 'york', 'commodities', 'desk']"
707,['new york 1996-12-06 fixtures- western hemisphere- danila 28.5'],[],"['new', 'york']",[]
708,['16/12 caribs/ up w224 mobil.'],[],['caribs'],[]
709,"['-- new york commodities desk, 212-859-1640 -docstart- dirty tanker fixtures and enquiries- 2317 gmt.']",[],[],"['new', 'york', 'commodities', 'desk']"
710,['new york 1996-12-06 mideast/ red sea- thai resource 264 31/12 ras tanura/ red sea w46.50'],[],"['new', 'york', 'mideast', 'red', 'sea', 'red', 'sea']",[]
711,['mobil.'],[],[],[]
712,['mediterranean- lula i 85 25/12 sidi kreir/ augusta w100 exxon.'],[],[],['w100']
713,['spetses 139 17/12 sidi kreir/ augusta w97.50'],[],['augusta'],['spetses']
714,['exxon.'],[],[],[]
715,['mesipia 77.5'],[],[],[]
716,['17/12 bajaia/ fos w105 exxon.'],[],"['fos', 'w105']",[]
717,['-- new york commodities desk +1 212 859 1640 -docstart- nyc jan refunding has its 1st euro floating rate.'],[],[],"['new', 'york', 'commodities', 'desk', 'nyc']"
718,['new york 1996-12-06 new york city on friday said that it planned a$ 775 million refunding for january that will include its first floating rate issue of taxable debt for european investors.'],[],"['new', 'york', '1996-12-06', 'new', 'york', 'city']",[]
719,"['a city official, who declined to be named, explained that goldman, sachs, which this summer was demoted to the second tier of the syndicate, proposed the floating rate issue and as a result was promoted to book runner for this offering.']",['goldman'],[],[]
720,"['by selling the floating rate debt, the city hopes to establish a benchmark, the city official said, adding that it needed a large deal to accomplish this objective.']",[],[],[]
721,"['the city in late june sold its first issue of euronotes, a strategy that it says saved it$ 500,000 in interest costs, and it has been trying to build on this strategy of expanding the pool of potential investors since then.']",[],[],[]
722,"['in november, new york city said it became the first u.s.']",[],"['new', 'york', 'city', 'u.s.']",[]
723,['municipality to offer bonds for sale in european markets by competitive bidding as it listed taxable bonds on the london stock exchange.'],[],[],"['london', 'stock', 'exchange']"
724,['the refunding planned for january also includes a$ 475 million tax-exempt offering.'],[],[],[]
725,"['no specific date in january has been selected for the debt sale, the official added.']",[],[],[]
726,"['-- joan gralla, 212-859-1654 -docstart- usda gross cutout hide and offal value.']","['joan', 'gralla']",[],['usda']
727,['des moines 1996-12-06 the hide and offal value from a typical slaughter steer for friday was estimated at$ 9.54'],[],"['des', 'moines']",[]
728,"['per cwt live, dn 0.05']",[],[],[]
729,"[""when compared to thursday's value.""]",[],[],[]
730,['- usda -docstart- wall st speculates about santa fe savior.'],[],"['santa', 'fe']","['usda', 'wall', 'st', 'speculates']"
731,"[""brendan intindola new york 1996-12-06 homestake mining co tops wall street's list as the most likely white knight buyer for santa fe pacific gold corp if santa fe rejects unsolicited suitor newmont mining corp.""]","['brendan', 'knight']","['new', 'york', 'wall', 'street', 'santa', 'fe', 'pacific', 'santa']","['homestake', 'mining', 'co', 'gold', 'corp', 'newmont', 'mining', 'corp']"
732,"['santa fe is so far mum on the more than$ 2 billion stock swap takeover proposal from newmont, announced thursday.']",[],"['santa', 'fe']",['newmont']
733,"['wall street, since the bid, has speculated that any deal between newmont and santa fe would be a']",[],"['wall', 'street', 'santa']",[]
734,"['bear hug,']",['bear'],[],[]
735,['or a reluctantly negotiated agreement where the buyer is not necessarily a friendly suitor.'],[],[],[]
736,"['newmont said the companies have had previous contact, though declined to detail the encounters.']",['newmont'],[],[]
737,"['analysts predict santa fe will go to the highest bidder, and that if a rival buyer is found, newmont may not be able to match its offer.']",[],['santa'],[]
738,"['they said the santa fe deal, which includes desirable nevada mining territory, would only payoff for newmont longer term.']",[],['santa'],[]
739,"['newmont, in fact, will not benefit from the santa fe acquisition on an earnings basis for at least two years, which also limits its capacity to raise its offer.']",[],['santa'],[]
740,"['any deal, friendly or hostile, would almost assuredly be a stock swap, which is necessary to preserve the tax-free, pooling-of-interest accounting, they said.']",[],[],[]
741,"[""analysts and arbitrageurs immediately ruled out barrick gold corp and bre-x minerals ltd as santa fe saviors because they are locked in negotiations over their splitting indonesia's busang vast gold deposit.""]",[],"['santa', 'indonesia']","['barrick', 'gold', 'corp', 'bre-x', 'minerals', 'ltd']"
742,"[""placer dome inc too was considered unlikley because it is focusing on geographic expansion in areas that do match santa fe's nevada, south america and central asia presence, they said.""]",[],"['nevada', 'south', 'america', 'central', 'asia']","['placer', 'dome', 'inc', 'santa', 'fe']"
743,['a homestake spokesman was not immediately available to comment on speculation that it tops the list.'],[],[],[]
744,"['homestake, based in san francisco, operates gold mines in the united states, australia, chile and canada.']","['homestake', 'operates', 'gold']","['san', 'francisco', 'united', 'states', 'australia', 'chile', 'canada']",[]
745,['earnings in 1995 were$ 0.22'],[],[],[]
746,"['per share, or$ 30.3']",[],[],[]
747,"['million, on revenues of$ 746.3']",[],[],[]
748,['million.'],[],[],[]
749,"['santa fe is headquartered albuquerque, n.m.']",[],"['santa', 'fe']",[]
750,['and reported 1995 earnings of$ 0.30'],[],[],[]
751,"['per share, or$ 40 million, on revenues of$ 350 million.']",[],[],[]
752,"['santa fe has mining and exploration operations in nevada, california, montana, canada, brazil, australia, chile, kazakstan, mexico and ghana.']",[],"['santa', 'nevada', 'california', 'montana', 'canada', 'brazil', 'australia', 'chile', 'kazakstan', 'mexico']",[]
